// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
DEFINE OBJECT CSHER                    // Object number -50
DEFINE OBJECT DSHER                    // Object number -51
DEFINE OBJECT SPECIAL10                // Object number -52
DEFINE OBJECT NITESTICK                // Object number -53
DEFINE OBJECT RUSTLER                  // Object number -54
DEFINE OBJECT STUNT                    // Object number -55
DEFINE OBJECT MARQUIS                  // Object number -56
DEFINE OBJECT SQUALO                   // Object number -57
DEFINE OBJECT JETMAX                   // Object number -58
DEFINE OBJECT TAXI                     // Object number -59
DEFINE OBJECT CABBIE                   // Object number -60
DEFINE OBJECT AMBULAN                  // Object number -61
DEFINE OBJECT COPCARRU                 // Object number -62
DEFINE OBJECT COPBIKE                  // Object number -63
DEFINE OBJECT FIRETRUK                 // Object number -64
DEFINE OBJECT FIRELA                   // Object number -65
DEFINE OBJECT BUS                      // Object number -66
DEFINE OBJECT COACH                    // Object number -67
DEFINE OBJECT COPCARSF                 // Object number -68
DEFINE OBJECT FBIRANCH                 // Object number -69
DEFINE OBJECT FBITRUCK                 // Object number -70
DEFINE OBJECT COPCARVG                 // Object number -71
DEFINE OBJECT DUMPER                   // Object number -72
DEFINE OBJECT GREENWOO                 // Object number -73
DEFINE OBJECT MAVERICK                 // Object number -74
DEFINE OBJECT MOLOTOV                  // Object number -75
DEFINE OBJECT SPRAYCAN                 // Object number -76
DEFINE OBJECT TEARGAS                  // Object number -77
DEFINE OBJECT FIRE_EX                  // Object number -78
DEFINE OBJECT CHROMEGUN                // Object number -79
DEFINE OBJECT SAWNOFF                  // Object number -80
DEFINE OBJECT SNIPER                   // Object number -81
DEFINE OBJECT MINIGUN                  // Object number -82
DEFINE OBJECT TEC9                     // Object number -83
DEFINE OBJECT SILENCED                 // Object number -84
DEFINE OBJECT POOLCUE                  // Object number -85
DEFINE OBJECT GOLFCLUB                 // Object number -86
DEFINE OBJECT SHOVEL                   // Object number -87
DEFINE OBJECT CHNSAW                   // Object number -88
DEFINE OBJECT GUN_PARA                 // Object number -89
DEFINE OBJECT CUNTGUN                  // Object number -90
DEFINE OBJECT GUN_DILDO1               // Object number -91
DEFINE OBJECT BRASSKNUCKLE             // Object number -92
DEFINE OBJECT SATCHEL                  // Object number -93
DEFINE OBJECT CAMERA                   // Object number -94
DEFINE OBJECT BAT                      // Object number -95
DEFINE OBJECT GUN_DILDO2               // Object number -96
DEFINE OBJECT GUN_CANE                 // Object number -97
DEFINE OBJECT FLOWERA                  // Object number -98
DEFINE OBJECT BODYARMOUR               // Object number -99
DEFINE OBJECT BRIBE                    // Object number -100
DEFINE OBJECT CARRIER_DOOR_SFSE        // Object number -101
DEFINE OBJECT CARRIER_LIFT2_SFSE       // Object number -102
DEFINE OBJECT CARRIER_LIFT1_SFSE       // Object number -103
DEFINE OBJECT SPECIAL02                // Object number -104
DEFINE OBJECT SPECIAL03                // Object number -105
DEFINE OBJECT SPECIAL04                // Object number -106
DEFINE OBJECT SFPD1                    // Object number -107
DEFINE OBJECT WMYBU                    // Object number -108
DEFINE OBJECT WMOMIB                   // Object number -109
DEFINE OBJECT STRETCH                  // Object number -110
DEFINE OBJECT WMYPLT                   // Object number -111
DEFINE OBJECT WMYCH                    // Object number -112
DEFINE OBJECT NEWSVAN                  // Object number -113
DEFINE OBJECT WMOSCI                   // Object number -114
DEFINE OBJECT REGINA                   // Object number -115
DEFINE OBJECT A51_SPOTBULB             // Object number -116
DEFINE OBJECT A51_SPOTHOUSING          // Object number -117
DEFINE OBJECT A51_SPOTBASE             // Object number -118
DEFINE OBJECT A51_LABDOOR              // Object number -119
DEFINE OBJECT JETPACK                  // Object number -120
DEFINE OBJECT RAINDANC                 // Object number -121
DEFINE OBJECT PONY                     // Object number -122
DEFINE OBJECT SECURICA                 // Object number -123
DEFINE OBJECT STRATUM                  // Object number -124
DEFINE OBJECT PARACHUTE                // Object number -125
DEFINE OBJECT PARA_COLLISION           // Object number -126

DEFINE MISSIONS 9
DEFINE MISSION 0 AT @INITIAL           // Initial 1
DEFINE MISSION 1 AT @INTRO             // Initial 2
DEFINE MISSION 2 AT @COPCAR            // Intro
DEFINE MISSION 3 AT @MAP_CM11          // Video Game: They Crawled From Uranus
DEFINE MISSION 4 AT @AC_MISSION        // Video Game: Duality
DEFINE MISSION 5 AT @CRAZYWIND         // Video Game: Go Go Space Monkey
DEFINE MISSION 6 AT @AGAINSTPOLICE     // Video Game: Let's Get Ready To Bumble
DEFINE MISSION 7 AT @DEATHM            // Video Game: Inside Track Betting
DEFINE MISSION 8 AT @ACTION126         // Pool

DEFINE EXTERNAL_SCRIPTS 1 // Use -1 in order not to compile AAA script
DEFINE SCRIPT PLAYER_PARACHUTE AT @PLCHUTE // 0

DEFINE UNKNOWN_EMPTY_SEGMENT 0

DEFINE UNKNOWN_THREADS_MEMORY 2048

{$USE CLEO}

//-------------MAIN---------------
0000: NOP 
jump @NONAME_1_418 
0662: printstring "GTA BIOHAZARD-STRIKE MAIN SCRIPT" 
0662: printstring "THE SCRIPT CREATED BY TAMIL" 
0662: printstring "YOU DON'T HAVE PERMISSION TO COPY ANYTHING FROM THE SCRIPT!" 
0662: printstring "CONTACTING ME WITH QQ: 1298878474 OR EMAIL: NEWTAMCL@FOXMAIL.COM" 
0662: printstring "SCM ENGINE BY TAMIL" 
0662: printstring "GTA BIOHAZARD-STRIKE MAIN SCRIPT" 
0662: printstring "MODØ™∑°£™ TAMIL(TAMCL)" 
0662: printstring "«À◊–÷ÿ◊◊’ﬂ£¨Œ•Ω≠‘ –ÕΩ€÷πΩÿ–––ﬁ®ƒ≤°∂ﬁ•Œ∑°≤£°£Œ•’ﬂ±ÿΩØ°£" 
0662: printstring "µ«◊”” £ﬁ: NEWTAMCL@FOXMAIL.COM" 
0662: printstring "SCM“›«∆”ÀAIAPI BY TAMIL(TAMCL)" 

:NONAME_1_418
0662: printstring "RE-INFECTION ZONE SUPER SCRIPT BY TAMIL" 
0662: printstring "EMAIL 1: NEWTAMIL@FOXMAIL.COM" 
0662: printstring "OTHER EMAIL ADDRESS: 1298878474@QQ.COM OR NEWTAMC@163.COM" 
add_text_label "_DBN" "~R~RE:IZ ~Y~PUBLIC 1775~N~DEVELOPMENT MODE~N~BY TAMIL" 
$9368 = 1 
$9369 = 0 
$9370 = 0 
$9371 = 0.1775 
fade 0 0 
set_wb_check_to 0 
select_interior 0 
0169: set_fade_color_RGB 0 0 0 
01B7: release_weather 
01F0: set_max_wanted_level_to 0 
00C0: set_current_time_hours_to 0 minutes_to 0 
04E4: refresh_game_renderer_at 2488.562 -1666.865 
Player.Create($PLAYER_CHAR, 0, 1538.399, -1701.109, 12.5469)
Actor.EmulateFromPlayer($PLAYER_ACTOR, $PLAYER_CHAR)
07AF: $PLAYER_GROUP = player $PLAYER_CHAR group 
016C: restart_if_wasted_at 1538.399 -1701.109 12.5469 angle 90.0 town_number 0 
016D: restart_if_busted_at 1538.399 -1701.109 12.5469 angle 90.0 town_number 0 
08DE: lose_stuff_after_busted 0 
08DD: lose_stuff_after_wasted 0 
MISSION_STARTER_2608()
MISSION_STARTER_2897()
MISSION_STARTER_2989()

:NONAME_1_810
   not Player.Defined($PLAYER_CHAR)
jf @NONAME_1_833 
wait 0 
jump @NONAME_1_810 

:NONAME_1_833
start_mission 0  // Initial 1
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @ADDZOMBAI 
start_new_script @POLICE_ST1 
start_new_script @HELPMIS_1 
start_new_script @ROADBLOCK 
start_new_script @TEXTSYS 
start_new_script @MISSION_SS 
start_new_script @PSAVE1 
start_new_script @DEBUGMAIN 
start_new_script @GHUD 
start_new_script @MISSION_STARTER 
start_new_script @IZES 
MISSION_STARTER_2487()
MISSION_STARTER_1041()
MISSION_STARTER_1824()
Actor.Angle($PLAYER_ACTOR) = 90.0
0792: disembark_instantly_actor $PLAYER_ACTOR 
Player.CanMove($PLAYER_CHAR, True)
Player.InfiniteRun($PLAYER_CHAR, True)
07FE: set_actor $PLAYER_ACTOR fighting_style_to 6 moves 6 
055F: set_player $PLAYER_CHAR max_armour += 50 
write_memory 9067136 4 314572800 0 
0A24: enable_military_zones_wanted_level 1 
07A8: enable_area69_sam 1 
09E4: enable_aircraftcarrier_sam 1 
06D0: enable_emergency_traffic 0 
06D7: enable_train_traffic 0 
06C8: enable_riot 0 
099E: enable_police_patrols 1 
0923: enable_air_traffic 1 
096A: enable_flying_helis 1 
03C7: set_sensitivity_to_crime 1.0 
072C: generate_police_bikes 1 
09BA: show_entered_zone_name 1 
09E6: set_burglary_houses_accessible 1 
03DE: set_pedestrians_density_multiplier_to 0.0 
01EB: set_traffic_density_multiplier_to 0.0 
01F7: set_player $PLAYER_CHAR ignored_by_cops 1 
077E: get_active_interior_to $ACTIVE_INTERIOR 
0652: $STAT_UNLOCKED_CITIES_NUMBER = integer_stat 181 
07D0: $WEEKDAY = weekday 
09FB: $CURRENT_LANGUAGE = current_language 
0842: $CURRENT_TOWN_NUMBER = player $PLAYER_CHAR town_number 
0180: set_on_mission_flag_to $ONMISSION // Note: your missions have to use the variable defined here 
Camera.SetBehindPlayer
$9372 = 0 
$9373 = 0 
$9374 = 0 
$9375 = 0 
$9376 = 0 
$9377 = 0 
$9378 = 0 
$9379 = 0 
$9380 = 0 
$9381 = 1 
$9382 = 0 
$9383 = 50 
$9384 = 0 
$9385 = 0 
$9386 = 0 
$9387 = 0 
$9388 = 1 
$9389 = 0 
$9390 = 0 
$9391 = 1 
$DEFAULT_WAIT_TIME = 250 
$9392 = 0 
$9393 = 0 
$9394 = 9 
$9395 = 1 
$9396 = 150 
$9397 = -1 
$9398 = -1 
$9399 = -1 
$9400 = -1 
$9401 = -1 
$9402 = -1 
$9403 = -1 
$9404 = -1 
$9405 = 1 
$9406 = 0 
start_new_script @MA01 
start_new_script @NONAME_3 
start_new_script @LEVELMANA 
fade 1 1000 
wait 0 
set_weather 24 
07FB: set_interior 'POLICE1' access 0 
NONAME_2_185()
wait 2000 
01B7: release_weather 
jump @NONAME_2_246 

:NONAME_2
if 
   not does_file_exist "CLEO\AIAPI.CS" 
jf @NONAME_2_122 
print_help_formatted "ERROR[103]: CAN NOT LOAD CLEO API WITH FLIE NAME: AIAPI.CS~N~CLEO VERSION: 2017.6.26" 2766 
terminate_this_script 

:NONAME_2_122
stream_custom_script "AIAPI.CS" 0@ 1@ 2@ 3@ 4@ 5@ 6@ 7@ 8@ 9@ 10@ 11@ 12@ 13@ 14@ 15@ 
terminate_this_script 

:NONAME_2_185
Model.Load(#MICRO_UZI)
Model.Load(#COLT45)

:NONAME_2_193
   not Model.Available(#MICRO_UZI)
jf @NONAME_2_215 
wait 0 
jump @NONAME_2_193 

:NONAME_2_215
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.MicroUzi, 1000)
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Pistol, 999999)
01B9: set_actor $PLAYER_ACTOR armed_weapon_to 0 
return 

:NONAME_2_246
wait 0 
07D0: $WEEKDAY = weekday 
09FB: $CURRENT_LANGUAGE = current_language 
0842: $CURRENT_TOWN_NUMBER = player $PLAYER_CHAR town_number 
DEBUGMAIN_5721()
RENDER_SCM_1181()
DEBUGMAIN_1787()
DEBUGMAIN_499()
POLICE_ST1_1324()
if or
856D:   not actor $9407 defined 
   Actor.Dead($9407)
jf @NONAME_2_405 
023C: load_special_actor 'FAM5' as 8 // models 290-299 

:NONAME_2_337
823D:   not special_actor 8 loaded 
jf @NONAME_2_359 
wait 0 
jump @NONAME_2_337 

:NONAME_2_359
10@ = -3 
11@ = 28 
12@ = 0.0 
NONAME_3_420()
0085: $9407 = 13@ // (int) 
jump @NONAME_2_486 

:NONAME_2_405
if and
   not Player.WantedLevel(0) > 0
  $9393 == 54 
jf @NONAME_2_461 
if 
82D8:   not actor $9407 current_weapon == 0 
jf @NONAME_2_454 
01B9: set_actor $9407 armed_weapon_to 0 

:NONAME_2_454
jump @NONAME_2_486 

:NONAME_2_461
if 
02D8:   actor $9407 current_weapon == 0 
jf @NONAME_2_486 
01B9: set_actor $9407 armed_weapon_to 28 

:NONAME_2_486
if 
   Actor.Dead($PLAYER_ACTOR)
jf @NONAME_2_564 
Player.WantedLevel($PLAYER_CHAR) = 0
Player.ClearWantedLevel($PLAYER_CHAR)
Actor.DestroyInstantly($9407)
wait 250 

:NONAME_2_524
   not Actor.Dead($PLAYER_ACTOR)
jf @NONAME_2_547 
wait 0 
jump @NONAME_2_524 

:NONAME_2_547
wait 250 
NONAME_2_185()
Actor.DestroyInstantly($9407)

:NONAME_2_564
if 
84EE:   not animation "TREIZ" loaded 
jf @NONAME_2_598 
04ED: load_animation "TREIZ" 
wait 3000 

:NONAME_2_598
if 
   Player.Defined($PLAYER_CHAR)
jf @NONAME_2_834 
if 
   not Actor.Dead($PLAYER_ACTOR)
jf @NONAME_2_731 
0393: actor $PLAYER_ACTOR perform_animation "GUNMOVE_L" at 2.0 times_normal_rate 
0393: actor $PLAYER_ACTOR perform_animation "GUNMOVE_R" at 2.0 times_normal_rate 
0393: actor $PLAYER_ACTOR perform_animation "GUNMOVE_BWD" at 2.0 times_normal_rate 
0393: actor $PLAYER_ACTOR perform_animation "GUNMOVE_FWD" at 2.0 times_normal_rate 
077E: get_active_interior_to $ACTIVE_INTERIOR 
0652: $STAT_UNLOCKED_CITIES_NUMBER = integer_stat 181 

:NONAME_2_731
if 
   Actor.HasWeapon($PLAYER_ACTOR, 46)
jf @NONAME_2_805 
0926: $SCRIPT_STATUS = external_script_status 0 (PLAYER_PARACHUTE) 
if 
  $SCRIPT_STATUS == 0 
jf @NONAME_2_798 
08A9: load_external_script 0 (PLAYER_PARACHUTE) 
if 
08AB:   external_script 0 (PLAYER_PARACHUTE) loaded 
jf @NONAME_2_798 
0913: run_external_script 0 (PLAYER_PARACHUTE) 

:NONAME_2_798
jump @NONAME_2_834 

:NONAME_2_805
0926: $SCRIPT_STATUS = external_script_status 0 (PLAYER_PARACHUTE) 
if 
   not $SCRIPT_STATUS == 0 
jf @NONAME_2_834 
090F: end_external_script 0 (PLAYER_PARACHUTE) 

:NONAME_2_834
jump @NONAME_2_246 
add_text_label "PSSI01" "[TAMCL] ~Y~HELLO, CARL JOHNSON, WELCOME TO THIS WORLD. YOU ARE THE ONE OF PEOPLE WHO CAN SURVIVE IN THE WORLD." 
05A9: s$9408 = 'PSSI01' // s$ 
wait 4500 
add_text_label "PSSI02" "[TAMCL] ~Y~I WILL TELL YOU HOW TO SURVIVE AND WIN THE WORLD. YOU MUST FOLLOW ME QUICKLY!" 
05A9: s$9408 = 'PSSI02' // s$ 
wait 4500 
add_text_label "PSSI03" "[TAMCL] ~Y~IF YOU KNOW, LET'S START OUR TRIP. THAT'S WILL BE VERY SURPRISING AND WONDERFUL!" 
05A9: s$9408 = 'PSSI03' // s$ 
wait 4000 

:NONAME_3
$9368 += 1 
wait 2000 
add_text_label "PSSIC01" "[TAMCL] ~Y~HELLO, CARL JOHNSON, WELCOME TO THIS WORLD. YOU ARE THE ONE OF PEOPLE WHO CAN SURVIVE IN THE WORLD." 
05A9: s$9408 = 'PSSIC01' // s$ 
wait 4500 
add_text_label "PSSIC02" "[TAMCL] ~Y~I WILL TELL YOU HOW TO SURVIVE AND WIN THE WORLD. YOU MUST FOLLOW ME QUICKLY!" 
05A9: s$9408 = 'PSSIC02' // s$ 
wait 4500 
add_text_label "PSSIC03" "[TAMCL] ~Y~IF YOU KNOW, LET'S START OUR TRIP. THAT'S WILL BE VERY SURPRISING AND WONDERFUL!" 
05A9: s$9408 = 'PSSIC03' // s$ 
wait 4500 
05A9: s$9408 = 'PSSIC04' // s$ 
$9368 -= 1 
terminate_this_script 

:NONAME_3_420
if 
   not Actor.Driving($PLAYER_ACTOR)
jf @NONAME_3_470 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor $PLAYER_ACTOR with_offset 12@ -2.0 -1.0 
jump @NONAME_3_507 

:NONAME_3_470
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor $PLAYER_ACTOR with_offset 12@ -6.0 -1.0 
$TEMPVAR_Z_COORD = -100.0 

:NONAME_3_507
Actor.Create(13@, PedType.Mission3, 10@, $TEMPVAR_X_COORD, $TEMPVAR_Y_COORD, $TEMPVAR_Z_COORD)
0446: set_actor 13@ dismemberment_possible 0 
Actor.Health(13@) = 500
Actor.GiveWeaponAndAmmo(13@, 11@, 50000)
$TEMPVAR_Z_COORD = Actor.Angle($PLAYER_ACTOR)
Actor.Angle(13@) = $TEMPVAR_Z_COORD
stream_custom_script "AIAPI.CS" 13@ 3 4 -15 $PLAYER_ACTOR -2 
Actor.WeaponAccuracy(13@) = 89
return 

:NONAME_3_606
if and
   not $9405 >= 10 
02D8:   actor $PLAYER_ACTOR current_weapon == 38 
jf @NONAME_3_660 
05A9: s$9408 = 'W_LEL_10' // s$ 
0555: remove_weapon 38 from_actor $PLAYER_ACTOR 

:NONAME_3_660
if and
   not $9405 >= 8 
02D8:   actor $PLAYER_ACTOR current_weapon == 36 
jf @NONAME_3_714 
05A9: s$9408 = 'W_LEL_08' // s$ 
0555: remove_weapon 36 from_actor $PLAYER_ACTOR 

:NONAME_3_714
if and
   not $9405 >= 8 
02D8:   actor $PLAYER_ACTOR current_weapon == 35 
jf @NONAME_3_768 
05A9: s$9408 = 'W_LEL_08' // s$ 
0555: remove_weapon 35 from_actor $PLAYER_ACTOR 

:NONAME_3_768
if and
   not $9405 >= 8 
02D8:   actor $PLAYER_ACTOR current_weapon == 37 
jf @NONAME_3_822 
05A9: s$9408 = 'W_LEL_08' // s$ 
0555: remove_weapon 37 from_actor $PLAYER_ACTOR 

:NONAME_3_822
if and
   not $9405 >= 4 
02D8:   actor $PLAYER_ACTOR current_weapon == 9 
jf @NONAME_3_876 
05A9: s$9408 = 'W_LEL_04' // s$ 
0555: remove_weapon 9 from_actor $PLAYER_ACTOR 

:NONAME_3_876
if and
   not $9405 >= 5 
02D8:   actor $PLAYER_ACTOR current_weapon == 34 
jf @NONAME_3_930 
05A9: s$9408 = 'W_LEL_05' // s$ 
0555: remove_weapon 34 from_actor $PLAYER_ACTOR 

:NONAME_3_930
return 

:LEVELMANA
script_name 'LEVELMANA' 
$9368 += 1 
$9410 = 10 
30@ = 1 
add_text_label "DEBUG_N1" "DEBUG: [1]~1~" 

:LEVELMANA_67
wait 0 
if 
  $9405 > 15 
jf @LEVELMANA_96 
$9405 = 15 

:LEVELMANA_96
if 
001C:   $9385 > $9410 // (int) 
jf @LEVELMANA_122 
$9405 += 1 

:LEVELMANA_122
if 
803B:   not  30@ == $9405 // (int) 
jf @LEVELMANA_253 
0085: 30@ = $9405 // (int) 
0085: $9410 = $9385 // (int) 
0085: 10@ = $9405 // (int) 
10@ += 1 
10@ *= 30 
0085: $9410 = 10@ // (int) 
0085: $9411 = $9405 // (int) 
05A9: s$9408 = 'LEVUP0' // s$ 
if 
   not $9405 >= 15 
jf @LEVELMANA_253 
wait 0 
0085: $9411 = $9410 // (int) 
05A9: s$9408 = 'LEVUP1' // s$ 

:LEVELMANA_253
if 
   not Actor.Dead($PLAYER_ACTOR)
jf @LEVELMANA_67 
$TEMPVAR_FLOAT_1 = Player.WantedLevel(0)
if 
  $TEMPVAR_FLOAT_1 > 0 
jf @LEVELMANA_379 
MISSION_STARTER_857()
033F: set_text_draw_letter_size 0.4 1.8 
045A: draw_text_1number 200.0 20.0 GXT 'POLSAA' number 0 
MISSION_STARTER_857()
033F: set_text_draw_letter_size 0.3 1.2 
045A: draw_text_1number 200.0 35.0 GXT 'POLSAA2' number $TEMPVAR_FLOAT_1 

:LEVELMANA_379
NONAME_3_606()
if 
is_key_pressed 77 
jf @LEVELMANA_428 
wait 250 
if 
is_key_pressed 77 
jf @LEVELMANA_428 
LEVELMANA_435()

:LEVELMANA_428
jump @LEVELMANA_67 

:LEVELMANA_435
read_memory 1@ 12045156 4 0 
08D4: 2@ = create_panel_with_title 'FNATZS1' position 29.0 145.0 width 200.0 columns 1 interactive 1 background 1 alignment 1 
08DB: set_panel 2@ column 0 header 'FNATS21' data 'FNATZS2' 'FNATZS3' 'FNATZS4' 'FNATZS5' 'FNATZS6' 'FNATZS7' 'FNATZS8' 'FNATZS9' 'FNATS10' 'FNATS11' 'DUMMY' 'DUMMY' 
0512: show_permanent_text_box 'CLOTHA' 
wait 200 
015D: set_gamespeed 0.0 

:LEVELMANA_633
wait 0 
if or
00E1:   player 0 pressed_key 15 
is_key_pressed 88 
jf @LEVELMANA_679 
08DA: remove_panel 2@ 
03E6: remove_text_box 
015D: set_gamespeed 1@ 
Player.CanMove($PLAYER_CHAR, True)
return 

:LEVELMANA_679
if 
00E1:   player 0 pressed_key 16 
jf @LEVELMANA_1657 
08D7: $TEMPVAR_X_COORD = panel 2@ active_row 
08DA: remove_panel 2@ 
03E6: remove_text_box 
015D: set_gamespeed 1@ 
Player.CanMove($PLAYER_CHAR, True)
if 
  $TEMPVAR_X_COORD == 0 
jf @LEVELMANA_823 
if 
   Player.Money($PLAYER_CHAR) > 200
jf @LEVELMANA_790 
Model.Load(#KNIFECUR)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Knife, 1)
Player.Money($PLAYER_CHAR) += -200
jump @LEVELMANA_823 

:LEVELMANA_790
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_823
if 
  $TEMPVAR_X_COORD == 1 
jf @LEVELMANA_924 
if 
   Player.Money($PLAYER_CHAR) > 1200
jf @LEVELMANA_891 
Model.Load(#MP5LNG)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Mp5, 500)
Player.Money($PLAYER_CHAR) += -1200
jump @LEVELMANA_924 

:LEVELMANA_891
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_924
if 
  $TEMPVAR_X_COORD == 2 
jf @LEVELMANA_1025 
if 
   Player.Money($PLAYER_CHAR) > 1600
jf @LEVELMANA_992 
Model.Load(#AK47)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Ak47, 500)
Player.Money($PLAYER_CHAR) += -1600
jump @LEVELMANA_1025 

:LEVELMANA_992
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1025
if 
  $TEMPVAR_X_COORD == 3 
jf @LEVELMANA_1126 
if 
   Player.Money($PLAYER_CHAR) > 1600
jf @LEVELMANA_1093 
Model.Load(#M4)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.M4, 500)
Player.Money($PLAYER_CHAR) += -1600
jump @LEVELMANA_1126 

:LEVELMANA_1093
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1126
if 
  $TEMPVAR_X_COORD == 4 
jf @LEVELMANA_1227 
if 
   Player.Money($PLAYER_CHAR) > 1700
jf @LEVELMANA_1194 
Model.Load(#DESERT_EAGLE)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.DesertEagle, 300)
Player.Money($PLAYER_CHAR) += -1700
jump @LEVELMANA_1227 

:LEVELMANA_1194
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1227
if 
  $TEMPVAR_X_COORD == 5 
jf @LEVELMANA_1328 
if 
   Player.Money($PLAYER_CHAR) > 1700
jf @LEVELMANA_1295 
Model.Load(#SHOTGSPA)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Spas12, 300)
Player.Money($PLAYER_CHAR) += -1700
jump @LEVELMANA_1328 

:LEVELMANA_1295
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1328
if 
  $TEMPVAR_X_COORD == 6 
jf @LEVELMANA_1429 
if 
   Player.Money($PLAYER_CHAR) > 1600
jf @LEVELMANA_1396 
Model.Load(#MICRO_UZI)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.MicroUzi, 600)
Player.Money($PLAYER_CHAR) += -1600
jump @LEVELMANA_1429 

:LEVELMANA_1396
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1429
if 
  $TEMPVAR_X_COORD == 7 
jf @LEVELMANA_1529 
if 
   Player.Money($PLAYER_CHAR) > 500
jf @LEVELMANA_1496 
